voxelID mppcID probability
57 12 0.0006216
57 13 0.0006472
57 14 0.000634
57 15 0.000614
57 16 0.0006488
58 1 0.0007472
58 2 0.0007036
58 3 0.0007132
58 4 0.0007356
58 5 0.0007284
58 6 0.0007236
58 7 0.0006084
58 8 0.000588
58 9 0.0024344
58 10 0.000582
58 11 0.0006892
58 12 0.000728
58 13 0.0007432
58 14 0.0006916
58 15 0.0006884
58 16 0.0006872
59 1 0.0002176
59 2 0.0002316
59 3 0.0002528
59 4 0.0002856
59 5 0.0002696
59 6 0.0002692
59 7 0.0002504
59 8 0.0002324
59 9 0.0002212
59 10 0.0002208
59 11 0.0002116
59 12 0.0002084
59 13 0.0001984
59 14 0.0002192
59 15 0.0002088
59 16 0.00019
60 1 0.0002348
60 2 0.0002528
60 3 0.0002824
60 4 0.0002852
60 5 0.0002608
60 6 0.0002372
60 7 0.0002392
60 8 0.0002244
60 9 0.0002292
60 10 0.000192
60 11 0.0002056
60 12 0.0002036
60 13 0.0002104
60 14 0.0002124
60 15 0.0002224
60 16 0.00022
61 1 0.0002768
61 2 0.0002892
61 3 0.000298
61 4 0.000282
61 5 0.0002408
61 6 0.0002692
61 7 0.0002232
61 8 0.0002144
61 9 0.0002028
61 10 0.0002132
61 11 0.0002056
61 12 0.0001852
61 13 0.000194
61 14 0.0002
61 15 0.0002288
61 16 0.0002484
62 1 0.0002832
62 2 0.0003172
62 3 0.0003324
62 4 0.0002896
62 5 0.0002404
62 6 0.0002392
62 7 0.0002016
62 8 0.000196
62 9 0.0001944
62 10 0.0001784
62 11 0.0001932
62 12 0.0001988
62 13 0.000202
62 14 0.000208
62 15 0.000226
62 16 0.0002644
63 1 0.0003152
63 2 0.000384
63 3 0.000354
63 4 0.0002856
63 5 0.0002344
63 6 0.0002248
63 7 0.0001908
63 8 0.000184
63 9 0.0001984
63 10 0.0001924
63 11 0.000192
63 12 0.0002008
63 13 0.000196
63 14 0.0002212
63 15 0.000232
63 16 0.0002852
64 1 0.0003476
64 2 0.0003932
64 3 0.0003556
64 4 0.000286
64 5 0.00023
64 6 0.0002044
64 7 0.0001844
64 8 0.0001688
64 9 0.0001836
64 10 0.0001844
64 11 0.0001808
64 12 0.0001756
64 13 0.0001988
64 14 0.0002152
64 15 0.0002404
64 16 0.0003036
65 1 0.000414
65 2 0.0004856
65 3 0.0003908
65 4 0.000278
65 5 0.0002108
65 6 0.0001848
65 7 0.0001732
65 8 0.0001928
65 9 0.0001916
65 10 0.0001824
65 11 0.0001948
65 12 0.0001764
65 13 0.000182
65 14 0.0002236
65 15 0.0002616
65 16 0.0003304
66 1 0.0004676
66 2 0.0005588
66 3 0.0004028
66 4 0.0002836
66 5 0.0002216
66 6 0.0001908
66 7 0.00017
66 8 0.0001992
66 9 0.0001972
66 10 0.0001912
66 11 0.0001968
66 12 0.0002108
66 13 0.0001848
66 14 0.0002124
66 15 0.000238
66 16 0.0003556
67 1 0.0005836
67 2 0.0006352
67 3 0.00038
67 4 0.0002856
67 5 0.0002104
67 6 0.000186
67 7 0.0002348
67 8 0.0002328
67 9 0.00023
67 10 0.0002316
67 11 0.000244
67 12 0.0002128
67 13 0.0002056
67 14 0.0002008
67 15 0.0002636
67 16 0.0003484
68 1 0.0006836
68 2 0.0007416
68 3 0.0004136
68 4 0.000302
68 5 0.0002328
68 6 0.0002684
68 7 0.0002852
68 8 0.0002832
68 9 0.0002696
68 10 0.000276
68 11 0.0002868
68 12 0.0002932
68 13 0.0002636
68 14 0.0002408
68 15 0.0002648
68 16 0.0003956
69 1 0.0008296
69 2 0.0008828
69 3 0.0004492
69 4 0.0003096
69 5 0.000294
69 6 0.0003328
69 7 0.000382
69 8 0.0003468
69 9 0.0003468
69 10 0.000374
69 11 0.00039
69 12 0.000394
69 13 0.0003796
69 14 0.0002976
69 15 0.0003152
69 16 0.0004476
70 1 0.0010728
70 2 0.0009608
70 3 0.0004692
70 4 0.0003628
70 5 0.0003792
70 6 0.000462
70 7 0.0004636
70 8 0.0004548
70 9 0.0004636
70 10 0.0004692
70 11 0.0004652
70 12 0.0004772
70 13 0.0004604
70 14 0.0003796
70 15 0.0003376
70 16 0.0004644
71 1 0.0012452
71 2 0.0009672
71 3 0.0004472
71 4 0.0004148
71 5 0.0005196
71 6 0.0005684
71 7 0.0005692
71 8 0.0005752
71 9 0.0005756
71 10 0.00058
71 11 0.0005568
71 12 0.0005384
71 13 0.000588
71 14 0.0005016
71 15 0.0004036
71 16 0.0004872
72 1 0.0013212
72 2 0.0008508
72 3 0.0004884
72 4 0.0005668
72 5 0.0006724
72 6 0.0006328
72 7 0.0006536
72 8 0.0006532
72 9 0.0006784
72 10 0.0006676
72 11 0.00064
72 12 0.0006368
72 13 0.0006964
72 14 0.0006364
72 15 0.0005448
72 16 0.0004884
73 1 0.0008648
73 2 0.0006176
73 3 0.0005676
73 4 0.0006564
73 5 0.0006448
73 6 0.0006724
73 7 0.0006908
73 8 0.0006316
73 9 0.000694
73 10 0.0007028
73 11 0.000662
73 12 0.000694
73 13 0.0006736
73 14 0.000644
73 15 0.0006276
73 16 0.000546
74 1 0.000198
74 2 0.0002188
74 3 0.0002268
74 4 0.0002652
74 5 0.0002596
74 6 0.0002728
74 7 0.000288
74 8 0.0002588
74 9 0.0002204
74 10 0.0002296
74 11 0.0002296
74 12 0.0002088
74 13 0.0002008
74 14 0.0002
74 15 0.0001984
74 16 0.0002088
75 1 0.0001816
75 2 0.0001932
75 3 0.0002276
75 4 0.0002328
75 5 0.0002616
75 6 0.0003096
75 7 0.0002972
75 8 0.0002752
75 9 0.0002808
75 10 0.000246
75 11 0.0002404
75 12 0.000198
75 13 0.000184
75 14 0.0001892
75 15 0.0002092
75 16 0.0002012
76 1 0.0001904
76 2 0.0001948
76 3 0.0002064
76 4 0.0002424
76 5 0.0002732
76 6 0.0002896
76 7 0.0003128
76 8 0.0003136
76 9 0.0003024
76 10 0.0002456
76 11 0.000218
76 12 0.0001968
76 13 0.0001928
76 14 0.000168
76 15 0.0001876
76 16 0.0001808
77 1 0.0001964
77 2 0.0001804
77 3 0.0001872
77 4 0.0002132
77 5 0.0002624
77 6 0.0002808
77 7 0.0003356
77 8 0.000368
77 9 0.0003256
77 10 0.0002648
77 11 0.0002268
77 12 0.0002024
77 13 0.000196
77 14 0.000176
77 15 0.0001812
77 16 0.000174
78 1 0.0001824
78 2 0.0001732
78 3 0.00018
78 4 0.0002104
78 5 0.000242
78 6 0.0002796
78 7 0.0003596
78 8 0.0004088
78 9 0.000366
78 10 0.0002784
78 11 0.0002388
78 12 0.0002188
78 13 0.000192
78 14 0.0001752
78 15 0.0001848
78 16 0.0001816
79 1 0.0001788
79 2 0.0001796
79 3 0.0001772
79 4 0.0001984
79 5 0.0002192
79 6 0.00027
79 7 0.0003892
79 8 0.0004456
79 9 0.0004184
79 10 0.0003176
79 11 0.0002508
79 12 0.0001948
79 13 0.000184
79 14 0.0001724
79 15 0.000196
79 16 0.0001764
80 1 0.0001824
80 2 0.000184
80 3 0.0001716
80 4 0.0002004
80 5 0.000202
80 6 0.0002652
80 7 0.0003872
80 8 0.0005324
80 9 0.000462
80 10 0.000316
80 11 0.000246
80 12 0.0002004
80 13 0.0001912
80 14 0.000186
80 15 0.000186
80 16 0.0001828
81 1 0.0002108
81 2 0.0002296
81 3 0.0002272
81 4 0.000194
81 5 0.0002208
81 6 0.0002696
81 7 0.00042
81 8 0.0006404
81 9 0.0005488
81 10 0.0003648
81 11 0.0002396
81 12 0.0002092
81 13 0.0001872
81 14 0.0002056
81 15 0.0002104
81 16 0.000214
82 1 0.000286
82 2 0.0002744
82 3 0.0002952
82 4 0.0002616
82 5 0.0002416
82 6 0.0003
82 7 0.0004228
82 8 0.000738
82 9 0.0007064
82 10 0.000412
82 11 0.000286
82 12 0.0002476
82 13 0.0002488
82 14 0.0003028
82 15 0.0002796
82 16 0.0002664
83 1 0.0003344
83 2 0.0003924
83 3 0.000364
83 4 0.0003684
83 5 0.0002884
83 6 0.000312
83 7 0.0004384
83 8 0.00088
83 9 0.0008716
83 10 0.0004272
83 11 0.0003164
83 12 0.0002924
83 13 0.0003536
83 14 0.0003788
83 15 0.0004048
83 16 0.000328
84 1 0.0004572
84 2 0.0004672
84 3 0.0004692
84 4 0.0004808
84 5 0.0003932
84 6 0.0003484
84 7 0.0004516
84 8 0.0009464
84 9 0.0010716
84 10 0.00046
84 11 0.0003404
84 12 0.0003792
84 13 0.0004552
84 14 0.0004616
84 15 0.0004812
84 16 0.0004716
85 1 0.0006164
85 2 0.000556
85 3 0.0005384
85 4 0.0005712
85 5 0.0005044
85 6 0.0004428
85 7 0.0004492
85 8 0.0009668
85 9 0.0013152
85 10 0.0004884
85 11 0.000434
85 12 0.000498
85 13 0.0005596
85 14 0.00055
85 15 0.0005276
85 16 0.00058
86 1 0.0006876
86 2 0.0006572
86 3 0.000626
86 4 0.0007016
86 5 0.0006748
86 6 0.0005492
86 7 0.0004908
86 8 0.0008268
86 9 0.0013624
86 10 0.0005176
86 11 0.0005492
86 12 0.0006524
86 13 0.0006948
86 14 0.0006696
86 15 0.0006424
86 16 0.000636
87 1 0.000708
87 2 0.0006868
87 3 0.0006492
87 4 0.0006904
87 5 0.0006788
87 6 0.0006376
87 7 0.0005768
87 8 0.0006156
87 9 0.0008828
87 10 0.000574
87 11 0.0006296
87 12 0.00068
87 13 0.0006996
87 14 0.0006716
87 15 0.00065
87 16 0.0006908
88 1 0.0002248
88 2 0.000244
88 3 0.0002876
88 4 0.0002888
88 5 0.0003064
88 6 0.0002924
88 7 0.0002544
88 8 0.0002348
88 9 0.0002204
88 10 0.0001996
88 11 0.0001852
88 12 0.0002048
88 13 0.0001908
88 14 0.0001852
88 15 0.0002
88 16 0.0002296
89 1 0.0002444
89 2 0.000272
89 3 0.0002864
89 4 0.000306
89 5 0.000306
89 6 0.0002728
89 7 0.0002376
89 8 0.0002228
89 9 0.0001964
89 10 0.0001904
89 11 0.0001996
89 12 0.0001932
89 13 0.0001916
